filename,num-closed,combination,mic,sweep,onset
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2271_mic_3_sweep_3.wav,23,2271,3,3,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1694_mic_3_sweep_1.wav,17,1694,3,1,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2337_mic_4_sweep_2.wav,23,2337,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1960_mic_2_sweep_1.wav,20,1960,2,1,2360
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2005_mic_5_sweep_1.wav,20,2005,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2192_mic_3_sweep_3.wav,22,2192,3,3,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1577_mic_3_sweep_1.wav,16,1577,3,1,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2406_mic_2_sweep_4.wav,24,2406,2,4,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1757_mic_5_sweep_3.wav,18,1757,5,3,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1773_mic_2_sweep_1.wav,18,1773,2,1,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2281_mic_4_sweep_4.wav,23,2281,4,4,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1664_mic_4_sweep_4.wav,17,1664,4,4,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1722_mic_3_sweep_1.wav,17,1722,3,1,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2228_mic_4_sweep_1.wav,22,2228,4,1,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1841_mic_2_sweep_2.wav,18,1841,2,2,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2162_mic_4_sweep_4.wav,22,2162,4,4,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1587_mic_4_sweep_3.wav,16,1587,4,3,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1944_mic_5_sweep_4.wav,20,1944,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2386_mic_1_sweep_4.wav,24,2386,1,4,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1805_mic_3_sweep_4.wav,18,1805,3,4,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2519_mic_2_sweep_2.wav,25,2519,2,2,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2255_mic_4_sweep_2.wav,23,2255,4,2,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2518_mic_2_sweep_4.wav,25,2518,2,4,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1804_mic_3_sweep_3.wav,18,1804,3,3,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2124_mic_1_sweep_3.wav,21,2124,1,3,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1945_mic_5_sweep_2.wav,20,1945,5,2,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1618_mic_4_sweep_1.wav,16,1618,4,1,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2387_mic_1_sweep_4.wav,24,2387,1,4,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2163_mic_4_sweep_4.wav,22,2163,4,4,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1586_mic_4_sweep_3.wav,16,1586,4,3,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1840_mic_2_sweep_3.wav,18,1840,2,3,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2229_mic_4_sweep_1.wav,22,2229,4,1,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1991_mic_5_sweep_1.wav,20,1991,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1723_mic_3_sweep_2.wav,17,1723,3,2,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2280_mic_4_sweep_3.wav,23,2280,4,3,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1665_mic_4_sweep_2.wav,17,1665,4,2,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2370_mic_5_sweep_4.wav,24,2370,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2540_mic_3_sweep_3.wav,25,2540,3,3,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2400_mic_1_sweep_3.wav,24,2400,1,3,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1679_mic_4_sweep_1.wav,17,1679,4,1,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1865_mic_3_sweep_3.wav,19,1865,3,3,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2496_mic_5_sweep_1.wav,25,2496,5,1,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2235_mic_4_sweep_4.wav,22,2235,4,4,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2107_mic_5_sweep_4.wav,21,2107,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2442_mic_5_sweep_1.wav,25,2442,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1959_mic_5_sweep_4.wav,20,1959,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1818_mic_3_sweep_2.wav,18,1818,3,2,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2504_mic_2_sweep_4.wav,25,2504,2,4,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2505_mic_2_sweep_4.wav,25,2505,2,4,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1819_mic_3_sweep_3.wav,18,1819,3,3,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1958_mic_5_sweep_1.wav,20,1958,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2443_mic_5_sweep_2.wav,25,2443,5,2,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2106_mic_5_sweep_4.wav,21,2106,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2234_mic_4_sweep_2.wav,22,2234,4,2,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1678_mic_4_sweep_2.wav,17,1678,4,2,1872
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2401_mic_1_sweep_1.wav,24,2401,1,1,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2094_mic_2_sweep_3.wav,21,2094,2,3,2360
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1641_mic_5_sweep_4.wav,16,1641,5,4,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2541_mic_3_sweep_1.wav,25,2541,3,1,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2371_mic_5_sweep_1.wav,24,2371,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2019_mic_5_sweep_3.wav,20,2019,5,3,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2355_mic_2_sweep_1.wav,24,2355,2,1,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1906_mic_3_sweep_3.wav,19,1906,3,3,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2026_mic_1_sweep_4.wav,20,2026,1,4,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2381_mic_2_sweep_2.wav,24,2381,2,2,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1621_mic_3_sweep_3.wav,16,1621,3,3,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2467_mic_2_sweep_2.wav,25,2467,2,2,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1894_mic_4_sweep_3.wav,19,1894,4,3,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1688_mic_3_sweep_1.wav,17,1688,3,1,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1689_mic_3_sweep_4.wav,17,1689,3,4,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1620_mic_3_sweep_2.wav,16,1620,3,2,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2380_mic_2_sweep_1.wav,24,2380,2,1,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2065_mic_5_sweep_4.wav,21,2065,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1907_mic_3_sweep_3.wav,19,1907,3,3,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2018_mic_5_sweep_4.wav,20,2018,5,4,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1698_mic_1_sweep_4.wav,17,1698,1,4,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1631_mic_1_sweep_2.wav,16,1631,1,2,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2175_mic_5_sweep_1.wav,22,2175,5,1,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2448_mic_4_sweep_2.wav,25,2448,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1590_mic_5_sweep_4.wav,16,1590,5,4,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_1953_mic_4_sweep_3.wav,20,1953,4,3,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1812_mic_2_sweep_2.wav,18,1812,2,2,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2242_mic_5_sweep_4.wav,23,2242,5,4,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1916_mic_1_sweep_2.wav,19,1916,1,2,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2340_mic_3_sweep_1.wav,23,2340,3,1,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1764_mic_3_sweep_1.wav,18,1764,3,1,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2296_mic_5_sweep_2.wav,23,2296,5,2,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1929_mic_5_sweep_3.wav,19,1929,5,3,1900
